date,description,amount,transaction_type,category,account_name,month,amount_clean,category_group,month_name,month_short,month_num,year
2018-01-01,Amazon,11.11,debit,Shopping,Platinum Card,2018-01,-11.11,Shopping,January,Jan,1,2018
2018-01-02,Mortgage Payment,1247.44,debit,Mortgage & Rent,Checking,2018-01,-1247.44,Housing,January,Jan,1,2018
2018-01-02,Thai Restaurant,24.22,debit,Restaurants,Silver Card,2018-01,-24.22,Food & Dining,January,Jan,1,2018
2018-01-04,Netflix,11.76,debit,Movies & DVDs,Platinum Card,2018-01,-11.76,Entertainment,January,Jan,1,2018
2018-01-05,American Tavern,25.85,debit,Restaurants,Silver Card,2018-01,-25.85,Food & Dining,January,Jan,1,2018
2018-01-06,Hardware Store,18.45,debit,Home Improvement,Silver Card,2018-01,-18.45,Housing,January,Jan,1,2018
2018-01-08,Gas Company,45.0,debit,Utilities,Checking,2018-01,-45.0,Utilities & Bills,January,Jan,1,2018
2018-01-08,Hardware Store,15.38,debit,Home Improvement,Silver Card,2018-01,-15.38,Housing,January,Jan,1,2018
2018-01-09,Spotify,10.69,debit,Music,Platinum Card,2018-01,-10.69,Entertainment,January,Jan,1,2018
2018-01-10,Phone Company,89.46,debit,Mobile Phone,Checking,2018-01,-89.46,Utilities & Bills,January,Jan,1,2018
2018-01-11,Shell,34.87,debit,Gas & Fuel,Platinum Card,2018-01,-34.87,Transport,January,Jan,1,2018
2018-01-11,Grocery Store,43.54,debit,Groceries,Platinum Card,2018-01,-43.54,Food & Dining,January,Jan,1,2018
2018-01-12,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,2018-01,2000.0,Other,January,Jan,1,2018
2018-01-13,Pizza Place,32.91,debit,Fast Food,Platinum Card,2018-01,-32.91,Food & Dining,January,Jan,1,2018
2018-01-13,Amazon,39.05,debit,Shopping,Platinum Card,2018-01,-39.05,Shopping,January,Jan,1,2018
2018-01-15,Grocery Store,44.19,debit,Groceries,Silver Card,2018-01,-44.19,Food & Dining,January,Jan,1,2018
2018-01-15,American Tavern,64.11,debit,Restaurants,Silver Card,2018-01,-64.11,Food & Dining,January,Jan,1,2018
2018-01-16,City Water Charges,35.0,debit,Utilities,Checking,2018-01,-35.0,Utilities & Bills,January,Jan,1,2018
2018-01-16,Power Company,60.0,debit,Utilities,Checking,2018-01,-60.0,Utilities & Bills,January,Jan,1,2018
2018-01-19,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,2018-01,2000.0,Other,January,Jan,1,2018
2018-01-20,Amazon,50.21,debit,Shopping,Platinum Card,2018-01,-50.21,Shopping,January,Jan,1,2018
2018-01-22,Hardware Store,17.38,debit,Home Improvement,Silver Card,2018-01,-17.38,Housing,January,Jan,1,2018
2018-01-24,Starbucks,3.0,debit,Coffee Shops,Platinum Card,2018-01,-3.0,Food & Dining,January,Jan,1,2018
2018-01-25,Internet Service Provider,69.99,debit,Internet,Checking,2018-01,-69.99,Utilities & Bills,January,Jan,1,2018
2018-01-29,Shell,30.42,debit,Gas & Fuel,Silver Card,2018-01,-30.42,Transport,January,Jan,1,2018
2018-01-29,Thai Restaurant,25.0,debit,Restaurants,Silver Card,2018-01,-25.0,Food & Dining,January,Jan,1,2018
