date,income,expense,net
2018-01-31,7162.89,-2931.45,4231.44
2018-02-28,5220.75,-3165.05,2055.7
2018-03-31,7321.5,-3500.16,3821.34
2018-04-30,7166.88,-6029.54,1137.34
2018-05-31,5091.55,-11392.03,-6300.48
2018-06-30,6017.19,-3665.88,2351.31
2018-07-31,4666.34,-2968.98,1697.36
2018-08-31,7379.15,-2396.18,4982.97
2018-09-30,5234.71,-3286.99,1947.72
2018-10-31,5022.23,-2848.35,2173.88
2018-11-30,6018.96,-2963.65,3055.31
2018-12-31,5635.1,-3427.99,2207.11
2019-01-31,4769.44,-5187.31,-417.87
2019-02-28,4500.01,-3163.4,1336.61
2019-03-31,7792.25,-3241.51,4550.74
2019-04-30,5931.89,-4829.55,1102.34
2019-05-31,5341.01,-4673.51,667.5
2019-06-30,4514.35,-11999.6,-7485.25
2019-07-31,5642.4,-4148.06,1494.34
2019-08-31,7304.1,-4266.17,3037.93
2019-09-30,6537.06,-5998.42,538.64
